2019-08-09 00:00:00 Launching analysis for 1113064533 with LEAN Engine v2.5.0.0
2019-08-09 00:00:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2019-08-09 00:00:00 Algorithm starting warm up...
2020-01-02 11:00:00 Algorithm finished warming up.
2022-01-31 16:00:00 Rebalancing PLTR: Current Weight: -12.69%, Target Weight: -11.11%, Price: $13.71, EMA: $14.93
2022-01-31 16:00:00 Rebalancing NVDA: Current Weight: -12.21%, Target Weight: -11.11%, Price: $244.86, EMA: $252.87
2022-02-02 16:00:00 Rebalancing NVDA: Current Weight: -11.38%, Target Weight: 11.11%, Price: $252.42, EMA: $252.27
2022-02-03 16:00:00 Rebalancing PLTR: Current Weight: -9.99%, Target Weight: -11.11%, Price: $12.45, EMA: $14.50
2022-02-03 16:00:00 Rebalancing NVDA: Current Weight: 10.33%, Target Weight: -11.11%, Price: $239.48, EMA: $251.05
2022-02-08 16:00:00 Rebalancing NVDA: Current Weight: -11.56%, Target Weight: 11.11%, Price: $251.08, EMA: $250.12
2022-02-09 16:00:00 Rebalancing PLTR: Current Weight: -12.53%, Target Weight: -11.11%, Price: $13.87, EMA: $14.10
2022-02-11 16:00:00 Rebalancing NVDA: Current Weight: 10.55%, Target Weight: -11.11%, Price: $239.49, EMA: $251.12
2022-02-15 16:00:00 Rebalancing PLTR: Current Weight: -11.62%, Target Weight: 11.11%, Price: $14.17, EMA: $13.92
2022-02-15 16:00:00 Rebalancing NVDA: Current Weight: -12.35%, Target Weight: 11.11%, Price: $264.95, EMA: $251.71
2022-02-17 16:00:00 Rebalancing PLTR: Current Weight: 9.40%, Target Weight: -11.11%, Price: $11.77, EMA: $13.72
2022-02-17 16:00:00 Rebalancing NVDA: Current Weight: 10.42%, Target Weight: -11.11%, Price: $245.07, EMA: $252.23
2022-02-22 16:00:00 Rebalancing PLTR: Current Weight: -9.66%, Target Weight: -11.11%, Price: $10.48, EMA: $13.18
2022-02-23 16:00:00 Rebalancing NVDA: Current Weight: -9.83%, Target Weight: -11.11%, Price: $223.87, EMA: $246.72
2022-02-24 16:00:00 Rebalancing PLTR: Current Weight: -12.72%, Target Weight: -11.11%, Price: $11.83, EMA: $12.81
2022-02-28 16:00:00 Rebalancing NVDA: Current Weight: -12.22%, Target Weight: -11.11%, Price: $243.85, EMA: $245.28
2022-03-07 16:00:00 Rebalancing NVDA: Current Weight: -9.42%, Target Weight: -11.11%, Price: $213.52, EMA: $239.36
2022-03-14 16:00:00 Rebalancing PLTR: Current Weight: -9.61%, Target Weight: -11.11%, Price: $10.50, EMA: $11.80
2022-03-16 16:00:00 Rebalancing PLTR: Current Weight: -12.82%, Target Weight: 11.11%, Price: $11.79, EMA: $11.71
2022-03-16 16:00:00 Rebalancing NVDA: Current Weight: -12.96%, Target Weight: 11.11%, Price: $244.96, EMA: $233.12
2022-03-22 16:00:00 Rebalancing PLTR: Current Weight: 12.12%, Target Weight: 11.11%, Price: $13.27, EMA: $12.07
2022-03-24 16:00:00 Rebalancing NVDA: Current Weight: 12.28%, Target Weight: 11.11%, Price: $281.50, EMA: $247.49
2022-04-05 16:00:00 Rebalancing NVDA: Current Weight: 10.08%, Target Weight: -11.11%, Price: $259.31, EMA: $261.52
2022-04-06 16:00:00 Rebalancing PLTR: Current Weight: 10.91%, Target Weight: -11.11%, Price: $13.00, EMA: $13.15
2022-04-08 16:00:00 Rebalancing NVDA: Current Weight: -9.77%, Target Weight: -11.11%, Price: $231.19, EMA: $255.60
2022-04-12 16:00:00 Rebalancing NVDA: Current Weight: -10.06%, Target Weight: -11.11%, Price: $215.04, EMA: $248.60
2022-04-19 16:00:00 Rebalancing PLTR: Current Weight: -10.90%, Target Weight: 11.11%, Price: $12.91, EMA: $12.86
2022-04-20 16:00:00 Rebalancing PLTR: Current Weight: 10.97%, Target Weight: -11.11%, Price: $12.79, EMA: $12.85
2022-04-22 16:00:00 Rebalancing NVDA: Current Weight: -9.80%, Target Weight: -11.11%, Price: $195.15, EMA: $229.54
